Size	CEJoin Runtime	(ignore)	CEJoin Runtime	(ignore)	ECJoin Runtime	(ignore)	ECJoin Runtime	(ignore)
0	0	0	0	0	0	0	0	0
500000	13712	500000	13808	500000	12575	500000	12729	500000
1000000	27875	1000000	27339	1000000	25165	1000000	25838	1000000
1500000	49744	1500000	49841	1500000	44163	1500000	44668	1500000
2000000	55848	2000000	55552	2000000	52370	2000000	52650	2000000
2500000	89375	2500000	89652	2500000	82389	2500000	83794	2500000
3000000	103263	3000000	96743	3000000	89810	3000000	91236	3000000
3500000	103994	3500000	105176	3500000	95740	3500000	100137	3500000
4000000	111750	4000000	113319	4000000	102965	4000000	102576	4000000
4500000	178303	4500000	173148	4500000	160763	4500000	162327	4500000
5000000	183144	5000000	186091	5000000	167703	5000000	167566	5000000
5500000	192439	5500000	193077	5500000	176699	5500000	174662	5500000
6000000	203503	6000000	196096	6000000	181149	6000000	180023	6000000
6500000	212967	6500000	201698	6500000	186613	6500000	186919	6500000
7000000	211979	7000000	209466	7000000	194651	7000000	193788	7000000
7500000	217772	7500000	217331	7500000	200079	7500000	203382	7500000
8000000	224094	8000000	224058	8000000	210921	8000000	208410	8000000
8500000	350293	8500000	336747	8500000	319152	8500000	324892	8500000
9000000	352637	9000000	346745	9000000	325034	9000000	330999	9000000
9500000	357639	9500000	358896	9500000	332511	9500000	335606	9500000
10000000	361290	10000000	369067	10000000	339634	10000000	344095	10000000
10500000	370637	10500000	377335	10500000	344926	10500000	353035	10500000
11000000	389809	11000000	377034	11000000	355323	11000000	357860	11000000
11500000	395160	11500000	383408	11500000	360736	11500000	357491	11500000
12000000	405378	12000000	390686	12000000	373253	12000000	366359	12000000
12500000	399217	12500000	398851	12500000	372108	12500000	371676	12500000
13000000	406928	13000000	417048	13000000	380038	13000000	383599	13000000
13500000	423693	13500000	417396	13500000	384275	13500000	386860	13500000
14000000	434920	14000000	421619	14000000	394377	14000000	390226	14000000
14500000	428772	14500000	438682	14500000	398594	14500000	403661	14500000
15000000	447853	15000000	436102	15000000	408365	15000000	403427	15000000
15500000	444895	15500000	458368	15500000	409169	15500000	410879	15500000
16000000	466809	16000000	451506	16000000	417816	16000000	416316	16000000
16500000	460213	16500000	468037	16500000	421522	16500000	434733	16500000
17000000	695730	17000000	685722	17000000	645908	17000000	642449	17000000
17500000	695686	17500000	692012	17500000	650153	17500000	662859	17500000
18000000	707060	18000000	697818	18000000	653454	18000000	658415	18000000
18500000	705145	18500000	700214	18500000	667080	18500000	666717	18500000
19000000	718804	19000000	710347	19000000	672439	19000000	671212	19000000
19500000	718820	19500000	722647	19500000	678666	19500000	675208	19500000
20000000	723298	20000000	725604	20000000	684965	20000000	683798	20000000
20500000	735721	20500000	732000	20500000	694306	20500000	695676	20500000
21000000	751193	21000000	738529	21000000	697515	21000000	696816	21000000
21500000	748679	21500000	751429	21500000	700988	21500000	702421	21500000
22000000	765832	22000000	761031	22000000	706648	22000000	707020	22000000
22500000	780611	22500000	779192	22500000	720714	22500000	718464	22500000
23000000	783042	23000000	779255	23000000	724133	23000000	727630	23000000
23500000	789300	23500000	782057	23500000	728324	23500000	732935	23500000
24000000	795620	24000000	797468	24000000	739174	24000000	733170	24000000
24500000	805129	24500000	802608	24500000	742474	24500000	744795	24500000
